id,antiguedad,dias
sat_nomina_tabla_vacaciones_1,1,6
sat_nomina_tabla_vacaciones_2,2,8
sat_nomina_tabla_vacaciones_3,3,10
sat_nomina_tabla_vacaciones_4,4,12
sat_nomina_tabla_vacaciones_5,5,14
sat_nomina_tabla_vacaciones_6,6,14
sat_nomina_tabla_vacaciones_7,7,14
sat_nomina_tabla_vacaciones_8,8,14
sat_nomina_tabla_vacaciones_9,9,14
sat_nomina_tabla_vacaciones_10,10,16
sat_nomina_tabla_vacaciones_11,11,16
sat_nomina_tabla_vacaciones_12,12,16
sat_nomina_tabla_vacaciones_13,13,16
sat_nomina_tabla_vacaciones_14,14,16
sat_nomina_tabla_vacaciones_15,15,18
sat_nomina_tabla_vacaciones_16,16,18
sat_nomina_tabla_vacaciones_17,17,18
sat_nomina_tabla_vacaciones_18,18,18
sat_nomina_tabla_vacaciones_19,19,18
sat_nomina_tabla_vacaciones_20,20,20
sat_nomina_tabla_vacaciones_21,21,20
sat_nomina_tabla_vacaciones_22,22,20
sat_nomina_tabla_vacaciones_23,23,20
sat_nomina_tabla_vacaciones_24,24,20
sat_nomina_tabla_vacaciones_25,25,22
sat_nomina_tabla_vacaciones_26,26,22
sat_nomina_tabla_vacaciones_27,27,22
sat_nomina_tabla_vacaciones_28,28,22
sat_nomina_tabla_vacaciones_29,29,22
sat_nomina_tabla_vacaciones_30,30,24
sat_nomina_tabla_vacaciones_31,31,24
sat_nomina_tabla_vacaciones_32,32,24
sat_nomina_tabla_vacaciones_33,33,24
sat_nomina_tabla_vacaciones_34,34,24
sat_nomina_tabla_vacaciones_35,35,26
sat_nomina_tabla_vacaciones_36,36,26
sat_nomina_tabla_vacaciones_37,37,26
sat_nomina_tabla_vacaciones_38,38,26
sat_nomina_tabla_vacaciones_39,39,26
sat_nomina_tabla_vacaciones_40,40,28
sat_nomina_tabla_vacaciones_41,41,28
sat_nomina_tabla_vacaciones_42,42,28
sat_nomina_tabla_vacaciones_43,43,28
sat_nomina_tabla_vacaciones_44,44,28
