id,code,name,vigencia_inicio,vigencia_fin
sat_nomina_tipodeduccion_1,001,Seguridad social,2016-11-01,
sat_nomina_tipodeduccion_2,002,ISR,2016-11-01,
sat_nomina_tipodeduccion_3,003,"Aportaciones a retiro, cesantía en edad avanzada y vejez.",2016-11-01,
sat_nomina_tipodeduccion_4,004,Otros,2016-11-01,
sat_nomina_tipodeduccion_5,005,Aportaciones a Fondo de vivienda,2016-11-01,
sat_nomina_tipodeduccion_6,006,Descuento por incapacidad,2016-11-01,
sat_nomina_tipodeduccion_7,007,Pensión alimenticia,2016-11-01,
sat_nomina_tipodeduccion_8,008,Renta,2016-11-01,
sat_nomina_tipodeduccion_9,009,Préstamos provenientes del Fondo Nacional de la Vivienda para los Trabajadores,2016-11-01,
sat_nomina_tipodeduccion_10,010,Pago por crédito de vivienda,2016-11-01,
sat_nomina_tipodeduccion_11,011,Pago de abonos INFONACOT,2016-11-01,
sat_nomina_tipodeduccion_12,012,Anticipo de salarios,2016-11-01,
sat_nomina_tipodeduccion_13,013,Pagos hechos con exceso al trabajador,2016-11-01,
sat_nomina_tipodeduccion_14,014,Errores,2016-11-01,
sat_nomina_tipodeduccion_15,015,Pérdidas,2016-11-01,
sat_nomina_tipodeduccion_16,016,Averías,2016-11-01,
sat_nomina_tipodeduccion_17,017,Adquisición de artículos producidos por la empresa o establecimiento,2016-11-01,
sat_nomina_tipodeduccion_18,018,Cuotas para la constitución y fomento de sociedades cooperativas y de cajas de ahorro,2016-11-01,
sat_nomina_tipodeduccion_19,019,Cuotas sindicales,2016-11-01,
sat_nomina_tipodeduccion_20,020,Ausencia (Ausentismo),2016-11-01,
sat_nomina_tipodeduccion_21,021,Cuotas obrero patronales,2016-11-01,
sat_nomina_tipodeduccion_22,022,Impuestos Locales,2016-11-01,
sat_nomina_tipodeduccion_23,023,Aportaciones voluntarias,2016-11-01,
sat_nomina_tipodeduccion_24,024,Ajuste en Gratificación Anual (Aguinaldo) Exento,2017-01-06,
sat_nomina_tipodeduccion_25,025,Ajuste en Gratificación Anual (Aguinaldo) Gravado,2017-01-06,
sat_nomina_tipodeduccion_26,026,Ajuste en Participación de los Trabajadores en las Utilidades PTU Exento,2017-01-06,
sat_nomina_tipodeduccion_27,027,Ajuste en Participación de los Trabajadores en las Utilidades PTU Gravado,2017-01-06,
sat_nomina_tipodeduccion_28,028,Ajuste en Reembolso de Gastos Médicos Dentales y Hospitalarios Exento,2017-01-06,
sat_nomina_tipodeduccion_29,029,Ajuste en Fondo de ahorro Exento,2017-01-06,
sat_nomina_tipodeduccion_30,030,Ajuste en Caja de ahorro Exento,2017-01-06,
sat_nomina_tipodeduccion_31,031,Ajuste en Contribuciones a Cargo del Trabajador Pagadas por el Patrón Exento,2017-01-06,
