id,code,name,vigencia_inicio,vigencia_fin
sat_nomina_tipootropago_1,001,Reintegro de ISR pagado en exceso (siempre que no haya sido enterado al SAT).,2017-01-01,
sat_nomina_tipootropago_2,002,Subsidio para el empleo (efectivamente entregado al trabajador).,2017-01-01,
sat_nomina_tipootropago_3,003,Viáticos (entregados al trabajador).,2017-01-01,
sat_nomina_tipootropago_4,004,Aplicación de saldo a favor por compensación anual.,2017-01-01,
sat_nomina_tipootropago_5,005,Reintegro de ISR retenido en exceso de ejercicio anterior (siempre que no haya sido enterado al SAT).,2017-12-05,
sat_nomina_tipootropago_6,006,Alimentos en bienes (Servicios de comedor y comida) Art 94 último párrafo LISR,2020-01-01,
sat_nomina_tipootropago_7,007,ISR ajustado por subsidio,2020-01-01,
sat_nomina_tipootropago_8,008,Subsidio efectivamente entregado que no correspondía (Aplica sólo cuando haya ajuste al cierre de mes en relación con el Apéndice 7 de la guía de llenado de nómina),2020-01-01,
sat_nomina_tipootropago_9,009,Reembolso de descuentos efectuados para el crédito de vivienda,2020-04-20,
sat_nomina_tipootropago_999,999,"Pagos distintos a los listados y que no deben considerarse como ingreso por sueldos, salarios o ingresos asimilados.",2017-01-01,
