id,code,name,vigencia_inicio,vigencia_fin
sat_nomina_tipopercepcion_1,001,"Sueldos, Salarios  Rayas y Jornales",2016-11-01,
sat_nomina_tipopercepcion_2,002,Gratificación Anual (Aguinaldo),2016-11-01,
sat_nomina_tipopercepcion_3,003,Participación de los Trabajadores en las Utilidades PTU,2016-11-01,
sat_nomina_tipopercepcion_4,004,Reembolso de Gastos Médicos Dentales y Hospitalarios,2016-11-01,
sat_nomina_tipopercepcion_5,005,Fondo de Ahorro,2016-11-01,
sat_nomina_tipopercepcion_6,006,Caja de ahorro,2016-11-01,
sat_nomina_tipopercepcion_9,009,Contribuciones a Cargo del Trabajador Pagadas por el Patrón,2016-11-01,
sat_nomina_tipopercepcion_10,010,Premios por puntualidad,2016-11-01,
sat_nomina_tipopercepcion_11,011,Prima de Seguro de vida,2016-11-01,
sat_nomina_tipopercepcion_12,012,Seguro de Gastos Médicos Mayores,2016-11-01,
sat_nomina_tipopercepcion_13,013,Cuotas Sindicales Pagadas por el Patrón,2016-11-01,
sat_nomina_tipopercepcion_14,014,Subsidios por incapacidad,2016-11-01,
sat_nomina_tipopercepcion_15,015,Becas para trabajadores y/o hijos,2016-11-01,
sat_nomina_tipopercepcion_19,019,Horas extra,2016-11-01,
sat_nomina_tipopercepcion_20,020,Prima dominical,2016-11-01,
sat_nomina_tipopercepcion_21,021,Prima vacacional,2016-11-01,
sat_nomina_tipopercepcion_22,022,Prima por antigüedad,2016-11-01,
sat_nomina_tipopercepcion_23,023,Pagos por separación,2016-11-01,
sat_nomina_tipopercepcion_24,024,Seguro de retiro,2016-11-01,
sat_nomina_tipopercepcion_25,025,Indemnizaciones,2016-11-01,
sat_nomina_tipopercepcion_26,026,Reembolso por funeral,2016-11-01,
sat_nomina_tipopercepcion_27,027,Cuotas de seguridad social pagadas por el patrón,2016-11-01,
sat_nomina_tipopercepcion_28,028,Comisiones,2016-11-01,
sat_nomina_tipopercepcion_29,029,Vales de despensa,2016-11-01,
sat_nomina_tipopercepcion_30,030,Vales de restaurante,2016-11-01,
sat_nomina_tipopercepcion_31,031,Vales de gasolina,2016-11-01,
sat_nomina_tipopercepcion_32,032,Vales de ropa,2016-11-01,
sat_nomina_tipopercepcion_33,033,Ayuda para renta,2016-11-01,
sat_nomina_tipopercepcion_34,034,Ayuda para artículos escolares,2016-11-01,
sat_nomina_tipopercepcion_35,035,Ayuda para anteojos,2016-11-01,
sat_nomina_tipopercepcion_36,036,Ayuda para transporte,2016-11-01,
sat_nomina_tipopercepcion_37,037,Ayuda para gastos de funeral,2016-11-01,
sat_nomina_tipopercepcion_38,038,Otros ingresos por salarios,2016-11-01,
sat_nomina_tipopercepcion_39,039,"Jubilaciones, pensiones o haberes de retiro",2016-11-01,
sat_nomina_tipopercepcion_44,044,"Jubilaciones, pensiones o haberes de retiro en parcialidades",2016-11-01,
sat_nomina_tipopercepcion_45,045,Ingresos en acciones o títulos valor que representan bienes,2016-11-01,
sat_nomina_tipopercepcion_046,046,Ingresos asimilados a salarios,2016-11-01,
sat_nomina_tipopercepcion_047,047,Alimentación,2016-11-01,
sat_nomina_tipopercepcion_48,048,Habitación,2016-11-01,
sat_nomina_tipopercepcion_49,049,Premios por asistencia,2016-11-01,
sat_nomina_tipopercepcion_50,050,Viáticos,2017-01-06,
sat_nomina_tipopercepcion_51,051,"Pagos por gratificaciones, primas, compensaciones, recompensas u otros a extrabajadores derivados de jubilación en parcialidades",2018-10-18,
sat_nomina_tipopercepcion_52,052,Pagos que se realicen a extrabajadores que obtengan una jubilación en parcialidades derivados de la ejecución de resoluciones judicial o de un laudo,2018-10-18,
sat_nomina_tipopercepcion_53,053,Pagos que se realicen a extrabajadores que obtengan una jubilación en una sola exhibición derivados de la ejecución de resoluciones judicial o de un laudo,2018-10-18,
